OID_,unique_property_number,unique_building_number,property_area,building_area,mapping_block_number,height,age,use,data_level,Shape_Length,Shape_Area,OBJECTID,CID,FREQUENCY,MAX_Z,Volume
1,23935348,14529634,293.2,293.2,EG1213,11.2,HISTORIC,RETAIL ONLY,FHAU,73.50082171,293.2363676,1,1,50,9.833080847,3284.247317
2,24014478,14537895,588.2,4455.1,EG1214,29.3,HISTORIC,OFFICE ONLY,FHAU,117.0937302,588.1932971,2,2,50,28.20086554,17234.0636
3,23755534,14537788,123.9,2461.5,EG1214,14.7,UNCLASSIFIED,UNCLASSIFIED,FH,44.93841399,123.8845963,3,3,50,24.99293388,1821.103566
4,23870419,14537906,1256.7,3149.6,EG1214,36.2,MODERN,OFFICE ONLY,FHAU,143.0666998,1256.744685,4,4,50,38.27946936,45494.15761
5,24023602,14528948,781.9,1294.4,EG1213,4.9,POSTWAR,RETAIL ONLY,FHAU,121.6181832,781.9219596,5,5,50,6.759896048,3831.417602
6,23986279,14537900,527.3,10054.8,EG1214,23.1,HISTORIC,RETAIL ONLY,FHAU,92.70052072,527.3205975,6,6,50,25.807058,12181.1058
7,23840890,14538409,217.8,1732.1,EG1214,19.5,HISTORIC,OFFICE ONLY,FHAU,65.07079271,217.8261318,7,7,50,21.81682575,4247.60957
8,24062763,14529635,201.8,2216.4,EG1213,22.1,UNCLASSIFIED,RESIDENTIAL ONLY,FHU,56.90819213,201.8077203,8,8,50,24.83538541,4459.950619
9,23787387,14528936,594.5,594.5,EG1213,14.1,SIXTIES SEVENTIES,RESIDENTIAL ONLY,FHAU,159.9964643,594.5070657,9,9,50,15.56694861,8382.549627
10,23923265,14538678,333.7,836.7,EG1214,15.9,UNCLASSIFIED,RESIDENTIAL ONLY,FHU,78.66066008,333.6706224,10,10,50,16.82985563,5305.362896
11,23707915,14529335,48.8,390,EG1213,9.5,MODERN,RESIDENTIAL ONLY,FHAU,30.04980396,48.7551459,11,11,50,10.2845801,463.173886
12,23707877,14528908,60.9,365.5,EG1213,9.6,MODERN,RESIDENTIAL ONLY,FHAU,31.91932342,60.92256596,12,12,50,8.418511196,584.8566333
13,23896959,14537446,96.7,1727.7,EG1214,18.8,MODERN,RESIDENTIAL ONLY,FHAU,39.55172437,96.66046476,13,13,50,19.46271492,1817.216737
14,23789975,14528983,52.6,1230.9,EG1213,12.5,UNCLASSIFIED,RESIDENTIAL ONLY,FHU,37.15980303,52.62630127,14,14,50,13.24699597,657.8287659
15,23869161,14537800,223.5,938.2,EG1214,13.5,MODERN,RESIDENTIAL ONLY,FHAU,73.59328243,223.4591865,15,15,50,14.81330718,3016.699018
16,23952301,14476600,63.5,401.1,EG1213,10,MODERN,RESIDENTIAL ONLY,FHAU,32.43919278,63.53409588,16,16,50,11.53400896,635.3409588
17,23826858,14537800,236,938.2,EG1214,11,MODERN,RESIDENTIAL ONLY,FHAU,76.87687889,236.0374009,17,17,50,14.25398155,2596.41141
18,23784652,14537427,902.9,902.9,EG1214,21.9,UNCLASSIFIED,RESIDENTIAL ONLY,FHU,154.7794165,902.9239182,18,18,50,21.12607184,19774.03381
19,23930926,14529622,304.9,5106.3,EG1213,18.3,UNCLASSIFIED,RESIDENTIAL ONLY,FHU,78.25376503,304.9329608,19,19,50,21.14095831,5580.273182
20,23707912,14529327,100.3,695.1,EG1213,9.3,MODERN,RESIDENTIAL ONLY,FHAU,40.07750937,100.3301427,20,20,50,17.93403496,933.070327
21,23708324,14528952,54.2,379.1,EG1213,8.7,MODERN,RESIDENTIAL ONLY,FHAU,31.1310163,54.16392326,21,21,50,10.30046578,471.2261324
22,24023794,14476600,44,401.1,EG1213,6.7,MODERN,RESIDENTIAL ONLY,FHAU,28.11372733,43.98851917,22,22,50,,294.7230784
