tempMin,tempMax,cloudCover,humidity,windSpeed,visibility
7.53,12.23,0.8,0.89,14.69,4.43
3.58,7.15,0.62,0.79,15.04,5.64
-0.61,6.54,0.31,0.84,4.48,6.2
-0.63,7.59,0.78,0.85,4.35,6.22
6.51,10.43,0.85,0.91,6.2,5.91
3.66,9.95,0.63,0.88,8.7,5.93
4.58,11.13,0.77,0.88,15.5,4.93
4.25,7.11,0.6,0.83,12.28,5.66
4.64,12.31,0.84,0.83,19.19,4.54
1.85,12.38,0.7,0.82,19.92,5.26
1.67,7.57,0.8,0.88,14.9,5.44
3.69,8.74,0.78,0.8,18.57,5.27
0.88,5.19,0.68,0.83,11.19,6.22
1.39,7.52,0.61,0.85,12.23,5.48
4.17,7.85,0.78,0.78,22.37,5.75
0.68,4.11,0.52,0.82,9.64,5.79
-2.49,2.43,0.53,0.92,3.59,5.84
-2.45,3.9,0.37,0.81,4.13,5.7
-4.74,1.04,0.13,0.85,2.13,6.22
-3.87,1.72,0.27,0.86,2.69,5.75
-2.88,1.58,0.72,0.87,1.62,4.08
-1.22,2.97,0.76,0.89,2.54,4.28
2.4,7.92,0.8,0.9,9.21,4.96
1.66,5.98,0.56,0.86,8.69,6.12
5.24,9.82,0.91,0.91,11.1,5.19
4.26,7.57,0.54,0.83,9.38,6.21
5.25,8.41,0.78,0.91,9.47,5.37
-0.01,8.18,0.76,0.88,15.18,4.57
-2.2,2.85,0.55,0.87,6.95,5.88
-2.77,4.52,0.3,0.83,7.76,6.22
1.55,4.61,0.28,0.74,9.99,6.22
-1.75,4.03,0.3,0.68,6.41,6.22
-3.13,3.82,0.04,0.83,2.88,6.22
-5.67,3.47,0.16,0.8,2.62,5.89
-4.59,4.42,0.03,0.8,2.56,6.21
0.46,8.05,0.44,0.87,2.19,6.22
-1.52,6.95,0.53,0.88,1.92,3.63
-1.64,8.42,0.2,0.87,2.13,4.3
-1.23,7.85,0.46,0.89,4.74,5.83
5.32,9.11,0.92,0.87,7.53,6.22
3.43,6.85,0.97,0.87,5.31,6.12
3.23,5.93,0.97,0.84,5.53,5.53
3.72,8.13,0.87,0.82,4.0,6.11
3.52,6.8,0.79,0.82,8.08,4.91
5.36,9.08,0.94,0.86,4.44,5.39
5.11,10.18,0.63,0.79,6.97,6.02
1.65,7.07,0.55,0.86,6.53,6.18
1.1,7.81,0.7,0.85,11.05,6.16
6.97,11.1,0.94,0.89,13.38,5.7
3.54,9.32,0.6,0.82,11.48,6.14
1.02,5.79,0.68,0.88,7.13,6.2
-0.23,5.43,0.5,0.87,5.58,5.99
-0.7,6.98,0.84,0.92,6.83,4.33
1.99,5.09,0.82,0.84,16.14,5.46
2.36,6.12,0.59,0.79,13.73,6.2
0.53,10.37,0.63,0.92,5.1,5.17
1.58,10.76,0.64,0.85,12.92,5.77
1.81,7.01,0.62,0.84,10.88,5.95
5.97,9.85,0.88,0.88,13.35,5.19
2.01,7.02,0.72,0.85,14.68,5.63
0.99,4.37,0.68,0.85,11.08,6.16
1.02,4.73,0.67,0.84,11.64,5.87
2.42,8.59,0.44,0.78,8.31,6.22
6.38,9.93,0.89,0.83,12.61,5.89
7.13,9.58,0.69,0.8,15.17,6.05
7.88,12.22,0.86,0.89,18.47,4.57
3.43,10.12,0.57,0.8,11.74,6.03
1.49,10.93,0.58,0.81,13.37,5.85
1.58,9.52,0.38,0.75,9.35,6.22
1.08,8.72,0.36,0.81,8.85,5.88
0.83,9.98,0.67,0.88,6.82,5.72
1.33,10.0,0.44,0.83,3.11,5.06
2.36,6.26,0.95,0.72,4.65,5.86
-1.12,7.6,0.7,0.8,4.45,6.22
4.15,7.21,0.74,0.84,4.06,5.94
2.46,7.71,0.86,0.85,2.14,3.43
2.83,11.43,0.51,0.79,1.6,4.29
-0.17,11.46,0.33,0.78,2.07,3.83
4.24,10.31,0.66,0.84,6.71,5.47
0.37,12.04,0.02,0.75,2.75,6.22
3.65,11.17,0.66,0.8,7.88,6.13
3.15,10.62,0.58,0.77,9.62,6.12
1.58,8.73,0.56,0.8,4.44,6.21
-2.03,9.13,0.24,0.73,3.77,6.22
1.71,9.67,0.77,0.81,10.96,5.06
1.4,9.39,0.57,0.74,6.27,6.22
4.53,11.69,0.75,0.86,10.64,5.46
3.27,7.59,0.78,0.87,8.57,6.06
1.77,9.06,0.73,0.86,11.25,5.73
2.75,8.05,0.65,0.78,18.56,5.76
1.97,8.12,0.6,0.8,11.54,6.22
-1.02,9.69,0.11,0.68,2.93,6.22
2.69,9.37,0.9,0.9,4.06,5.1
3.38,14.02,0.37,0.82,4.17,6.22
5.49,16.39,0.51,0.86,2.25,4.47
4.38,15.28,0.72,0.85,3.23,3.06
4.7,12.1,0.79,0.8,6.03,6.22
0.56,15.86,0.34,0.77,2.21,4.65
3.82,16.51,0.1,0.71,4.74,4.64
3.14,17.02,0.15,0.67,5.19,4.85
3.38,9.77,0.61,0.76,10.95,6.02
3.75,10.23,0.65,0.75,8.89,6.12
2.31,11.3,0.54,0.83,6.71,6.01
9.5,12.07,0.89,0.88,11.13,4.97
4.23,11.56,0.57,0.74,9.26,5.61
-0.09,14.08,0.04,0.69,2.72,6.22
1.77,14.49,0.29,0.7,5.37,6.22
2.01,15.51,0.24,0.7,4.35,6.15
2.11,12.07,0.33,0.74,5.06,6.22
3.64,14.15,0.61,0.71,5.06,6.22
1.61,17.06,0.04,0.73,3.47,6.22
3.88,20.05,0.03,0.71,2.27,6.17
4.66,18.5,0.06,0.73,3.86,5.01
5.89,13.56,0.83,0.87,4.39,3.97
4.02,11.82,0.42,0.67,9.33,6.16
0.29,9.43,0.36,0.67,8.14,6.22
-1.24,8.37,0.43,0.72,6.94,6.1
2.37,8.36,0.64,0.8,9.76,5.99
3.48,8.58,0.78,0.86,8.9,6.08
2.94,11.94,0.25,0.66,4.99,6.22
-1.32,11.12,0.21,0.66,4.3,6.22
0.71,9.38,0.71,0.74,8.67,6.22
4.58,9.83,0.86,0.89,9.27,5.8
8.25,14.67,0.59,0.72,8.84,5.74
6.8,10.25,0.66,0.84,9.93,5.72
6.27,12.05,0.62,0.8,8.12,6.15
2.56,11.07,0.32,0.66,7.72,6.22
1.24,12.92,0.34,0.71,3.9,6.22
6.58,16.01,0.49,0.7,6.14,6.22
8.5,14.08,0.77,0.86,8.18,5.35
10.08,15.81,0.44,0.74,13.38,6.16
7.79,12.03,0.65,0.77,13.67,6.12
7.6,13.96,0.64,0.7,5.29,6.22
4.56,13.45,0.38,0.67,7.54,6.22
1.87,13.08,0.73,0.81,6.04,5.27
6.71,11.68,0.65,0.76,12.22,6.22
6.69,10.82,0.79,0.84,10.61,5.85
5.92,11.35,0.75,0.83,6.52,6.03
5.01,12.87,0.44,0.75,8.87,6.22
6.72,14.4,0.4,0.71,8.74,6.22
8.52,12.9,0.76,0.78,8.59,6.22
9.04,15.45,0.64,0.81,9.6,5.87
3.86,16.49,0.28,0.73,4.82,6.18
8.03,12.05,0.75,0.8,9.95,6.1
7.71,15.44,0.56,0.73,8.68,6.19
8.0,13.45,0.69,0.74,9.04,6.22
7.63,10.99,0.82,0.82,6.99,6.08
6.05,11.68,0.65,0.79,10.71,6.17
5.61,12.34,0.54,0.75,7.87,6.21
4.67,14.2,0.39,0.7,6.93,6.21
5.48,11.18,0.71,0.79,10.15,5.28
4.24,12.46,0.67,0.8,10.89,5.8
6.33,12.16,0.79,0.8,13.9,5.75
7.01,14.71,0.43,0.73,8.06,6.22
6.52,15.76,0.47,0.79,2.7,6.2
10.31,15.93,0.51,0.78,7.49,6.1
8.71,10.99,0.63,0.81,16.03,5.82
7.72,14.7,0.57,0.71,10.19,6.22
4.2,15.49,0.26,0.7,4.42,6.22
3.97,17.89,0.29,0.71,3.31,6.22
5.49,21.22,0.19,0.68,3.56,6.12
6.14,22.61,0.19,0.66,2.82,6.22
7.2,21.96,0.18,0.68,3.07,6.22
9.62,14.28,0.79,0.81,5.8,6.19
7.62,14.78,0.66,0.77,4.61,5.86
4.71,16.27,0.34,0.76,3.23,6.22
10.79,17.66,0.78,0.8,5.36,6.13
10.0,15.31,0.74,0.82,11.6,5.94
9.37,11.62,0.76,0.82,9.5,5.82
9.36,13.71,0.78,0.83,6.24,6.21
10.54,17.78,0.76,0.84,5.04,5.38
9.5,14.19,0.74,0.82,7.73,6.17
8.82,16.68,0.54,0.76,5.75,6.19
5.59,18.52,0.4,0.74,3.64,6.22
7.75,17.22,0.58,0.82,1.81,6.22
11.82,16.46,0.68,0.9,2.52,5.16
11.76,16.2,0.77,0.86,5.37,5.75
10.71,19.64,0.59,0.78,5.43,6.22
12.97,17.92,0.69,0.82,7.96,5.76
12.04,18.1,0.61,0.82,5.34,5.91
13.87,23.01,0.68,0.8,5.3,6.22
16.22,26.66,0.19,0.74,3.97,6.22
13.0,21.8,0.55,0.84,4.98,5.57
10.28,23.06,0.33,0.74,4.19,5.16
12.48,19.36,0.57,0.84,8.44,6.17
10.12,18.22,0.45,0.81,3.64,6.17
10.72,18.77,0.69,0.84,5.0,5.93
13.52,18.35,0.75,0.86,7.04,5.77
10.58,16.86,0.59,0.77,6.86,5.81
6.28,16.23,0.34,0.71,4.72,6.01
10.72,20.09,0.67,0.83,4.97,5.36
13.5,17.85,0.72,0.84,7.59,5.77
12.36,15.98,0.78,0.8,7.94,5.9
11.27,16.83,0.7,0.87,3.3,5.7
8.56,18.17,0.39,0.76,4.66,6.22
7.97,18.52,0.23,0.67,5.96,6.22
7.96,18.46,0.57,0.76,5.53,6.22
11.22,16.02,0.75,0.84,9.54,5.54
11.06,16.86,0.77,0.81,12.63,5.64
11.01,17.39,0.69,0.81,5.72,6.09
8.91,15.72,0.71,0.88,4.38,5.89
11.76,15.42,0.78,0.82,7.28,6.18
9.07,15.97,0.54,0.78,5.6,6.22
10.03,15.41,0.55,0.78,8.66,6.22
7.43,17.08,0.45,0.78,3.79,6.22
8.27,16.84,0.28,0.77,4.48,6.22
6.84,15.9,0.44,0.81,5.31,5.74
9.28,12.07,0.73,0.87,7.28,6.02
9.16,13.08,0.69,0.91,2.21,5.72
7.83,16.72,0.42,0.8,5.09,6.19
7.99,15.99,0.51,0.7,5.64,6.22
10.78,15.21,0.69,0.83,7.36,6.1
8.11,15.28,0.48,0.81,7.22,5.98
7.55,16.74,0.55,0.86,5.56,6.22
13.71,18.47,0.58,0.78,10.38,6.19
12.58,16.07,0.71,0.81,11.88,6.04
11.54,16.37,0.74,0.85,6.34,5.97
11.16,17.67,0.62,0.8,6.6,5.73
6.77,19.05,0.33,0.73,3.66,5.8
7.68,18.39,0.36,0.77,6.75,6.2
13.34,18.23,0.7,0.84,8.73,6.2
11.83,18.18,0.66,0.86,6.78,6.14
10.68,16.38,0.63,0.81,5.56,6.22
9.77,18.16,0.69,0.75,2.87,6.22
6.04,22.72,0.36,0.76,2.39,5.68
11.79,16.6,0.66,0.86,3.7,6.19
8.99,16.24,0.46,0.74,7.31,6.22
8.99,18.84,0.25,0.72,3.54,6.22
8.11,21.29,0.18,0.71,2.17,6.22
7.39,21.06,0.15,0.75,3.39,5.96
10.38,19.06,0.59,0.85,4.4,5.64
11.9,18.4,0.73,0.85,5.5,6.19
15.05,20.7,0.66,0.8,7.88,6.22
13.7,18.1,0.47,0.81,3.99,6.22
14.75,24.89,0.42,0.74,10.25,5.71
13.23,18.22,0.64,0.81,3.86,6.11
9.66,17.72,0.42,0.73,5.01,6.22
11.43,16.58,0.61,0.85,5.38,5.74
10.88,16.07,0.7,0.85,9.17,6.0
11.03,16.76,0.62,0.82,8.33,6.22
12.27,17.97,0.54,0.81,8.94,6.22
10.69,17.38,0.48,0.81,4.36,6.04
7.91,17.41,0.41,0.84,2.39,6.06
9.39,17.37,0.45,0.81,3.77,6.11
10.31,15.22,0.48,0.78,3.65,6.21
7.92,17.27,0.51,0.72,5.74,6.22
6.68,14.96,0.38,0.83,4.52,6.21
4.92,16.4,0.33,0.69,4.22,6.22
5.64,17.62,0.27,0.78,6.11,6.22
5.5,18.67,0.38,0.85,1.94,4.16
10.45,17.12,0.81,0.88,2.95,4.83
10.31,15.0,0.82,0.81,3.97,5.49
10.76,20.15,0.46,0.72,6.57,6.22
9.8,19.59,0.3,0.72,8.56,6.22
10.6,14.41,0.57,0.82,8.12,6.15
8.03,16.0,0.38,0.84,3.55,6.22
8.63,14.75,0.49,0.86,2.82,5.59
6.82,14.97,0.4,0.85,3.85,5.3
4.48,17.22,0.34,0.79,2.11,5.26
8.14,17.0,0.39,0.82,3.11,5.79
9.05,18.79,0.55,0.81,1.79,5.33
6.19,14.93,0.66,0.85,2.54,4.71
11.36,15.9,0.81,0.85,4.08,6.22
8.59,15.48,0.65,0.85,4.92,5.83
5.47,16.05,0.25,0.81,5.38,6.21
6.94,15.18,0.47,0.85,5.04,5.75
8.33,13.21,0.67,0.83,8.6,6.11
9.05,14.97,0.62,0.82,6.77,6.05
8.85,15.33,0.69,0.86,2.43,6.17
5.6,17.41,0.26,0.81,2.34,4.78
5.08,17.47,0.24,0.8,2.88,5.4
7.35,19.79,0.13,0.81,2.26,5.21
4.92,19.46,0.54,0.85,1.16,3.39
5.08,18.19,0.88,0.83,1.8,3.05
6.04,14.52,0.74,0.84,3.38,4.02
2.9,13.41,0.88,0.82,1.72,4.36
7.58,12.43,0.91,0.78,3.36,6.22
7.17,15.45,0.5,0.86,6.94,4.57
11.55,17.26,0.7,0.9,3.1,5.29
6.77,13.88,0.33,0.82,5.9,6.09
4.6,15.32,0.46,0.84,2.74,5.44
7.55,15.03,0.62,0.87,2.95,6.22
9.92,15.12,0.2,0.88,1.77,5.42
7.55,13.98,0.47,0.86,1.95,5.1
5.0,13.14,0.33,0.8,4.0,6.04
4.0,13.88,0.48,0.79,1.78,6.21
3.75,13.35,0.53,0.82,1.31,5.63
1.41,12.65,0.53,0.85,2.12,4.19
3.16,13.45,0.45,0.87,1.18,3.52
4.06,11.5,0.83,0.88,1.27,3.89
4.4,13.67,0.72,0.82,2.48,5.43
1.92,12.18,0.63,0.85,1.58,4.27
8.17,13.16,0.65,0.83,5.53,6.14
10.63,14.97,0.86,0.92,9.75,4.68
10.12,13.03,0.81,0.75,12.92,5.98
9.21,13.4,0.87,0.77,8.04,5.69
6.71,13.23,0.58,0.85,10.32,5.39
6.21,11.71,0.45,0.83,7.12,6.12
7.1,12.15,0.49,0.78,5.85,6.22
7.93,14.88,0.55,0.86,6.25,4.83
8.89,12.91,0.81,0.93,4.19,3.67
6.19,12.97,0.53,0.85,6.47,6.19
6.24,14.3,0.43,0.86,3.94,5.98
8.95,16.06,0.66,0.87,6.58,5.82
5.31,15.42,0.48,0.88,2.94,4.56
6.59,12.1,0.88,0.93,1.83,3.26
3.98,11.38,0.87,0.92,1.5,1.39
6.51,10.54,0.92,0.95,1.96,2.56
10.03,11.88,0.83,0.94,2.41,2.71
8.31,14.13,0.74,0.91,4.36,4.16
8.24,10.55,0.49,0.92,3.23,5.64
7.64,13.27,0.6,0.86,9.64,5.97
7.83,15.29,0.79,0.89,12.1,4.23
10.9,15.41,0.81,0.9,9.13,4.83
9.16,12.54,0.69,0.87,6.25,6.19
7.39,13.05,0.59,0.81,10.66,6.11
3.93,8.42,0.7,0.83,11.57,5.74
5.34,8.21,0.65,0.86,7.48,5.98
6.36,14.63,0.89,0.94,7.03,3.42
5.36,13.95,0.69,0.81,13.01,6.14
3.76,7.65,0.72,0.86,7.19,5.89
6.17,11.06,0.75,0.86,11.39,5.92
6.68,9.47,0.69,0.83,10.78,6.1
0.95,7.28,0.48,0.85,6.74,6.1
-0.6,3.38,0.31,0.76,3.88,6.22
-0.31,6.76,0.09,0.83,2.78,6.22
-0.11,9.12,0.76,0.88,6.8,5.64
5.11,8.55,0.63,0.84,6.99,6.05
4.87,9.26,0.66,0.84,5.2,6.2
7.84,12.11,0.93,0.92,6.6,5.25
2.9,11.7,0.79,0.89,10.23,4.86
2.51,6.89,0.71,0.86,11.14,5.42
2.66,8.92,0.72,0.86,11.71,5.79
1.02,5.1,0.58,0.89,4.54,5.8
0.59,12.62,0.76,0.9,7.04,5.17
3.69,12.03,0.56,0.84,9.53,6.07
2.76,5.68,0.58,0.92,2.61,5.95
3.68,11.11,0.76,0.86,14.79,5.19
9.79,12.92,0.93,0.9,18.34,3.49
4.33,9.31,0.52,0.85,6.3,5.9
4.39,13.26,0.78,0.88,7.45,5.64
4.88,12.81,0.52,0.8,11.27,6.22
4.83,11.25,0.72,0.85,14.21,5.2
3.29,9.15,0.57,0.79,11.71,5.87
2.66,6.63,0.52,0.83,10.75,5.87
-1.18,5.17,0.21,0.9,2.32,6.19
-2.66,2.06,0.77,0.94,1.15,1.56
1.66,5.48,0.93,0.95,3.59,3.23
5.09,9.61,0.86,0.9,7.16,6.05
9.07,12.39,0.9,0.93,4.67,4.92
10.82,13.5,0.81,0.88,9.42,5.9
10.11,12.97,0.82,0.89,12.66,5.39
10.61,14.22,0.75,0.87,11.83,5.72
8.33,11.12,0.71,0.85,10.52,6.12
5.99,8.96,0.69,0.83,10.62,5.84
7.13,13.09,0.7,0.84,12.1,5.69
4.88,11.33,0.61,0.8,13.82,6.12
4.04,11.39,0.8,0.84,12.0,5.53
3.2,5.57,0.64,0.85,7.02,6.22
3.02,6.46,0.96,0.94,7.52,4.52
4.38,7.73,0.45,0.88,5.16,6.13
8.06,11.97,0.34,0.78,8.08,6.19
7.63,12.05,0.63,0.81,10.89,6.12
3.48,12.87,0.71,0.87,13.07,5.01
2.04,6.33,0.55,0.89,4.77,5.55
1.54,6.02,0.28,0.8,7.2,6.22
5.66,8.89,0.85,0.87,6.52,6.05
6.44,8.62,0.85,0.88,8.03,6.12
6.36,8.09,0.72,0.88,7.74,6.22
5.29,6.96,0.9,0.88,10.48,6.08
5.46,7.49,0.9,0.87,7.02,6.22
3.46,7.05,0.65,0.87,7.85,5.82
-0.21,4.15,0.47,0.91,2.01,4.96
-0.66,4.31,0.87,0.94,4.55,4.4
2.14,5.43,0.89,0.92,6.47,5.22
3.74,5.49,0.8,0.89,4.81,5.94
2.43,5.35,0.46,0.88,5.94,6.22
0.16,3.21,0.43,0.9,3.16,6.0
-0.89,4.03,0.27,0.81,4.87,6.22
-1.32,5.13,0.14,0.82,4.08,6.19
-3.52,0.98,0.46,0.91,2.97,4.29
-0.4,2.41,0.83,0.88,2.42,5.98
0.76,3.16,0.92,0.94,1.62,2.55
1.06,3.8,0.87,0.95,1.07,3.43
1.38,3.59,0.77,0.94,2.03,2.77
0.69,7.29,0.63,0.89,5.29,4.3
7.12,11.53,0.72,0.86,8.19,5.89
7.08,10.15,0.53,0.84,7.77,5.68
8.4,13.56,0.9,0.91,8.07,6.04
5.81,13.16,0.69,0.85,11.12,6.05
6.63,12.37,0.83,0.89,14.41,4.77
2.9,7.2,0.67,0.89,5.88,5.72
3.02,8.87,0.78,0.85,12.29,5.51
3.59,10.45,0.75,0.79,17.4,4.7
1.22,4.53,0.58,0.78,13.98,5.86
2.23,7.0,0.76,0.89,4.98,5.63
5.56,11.17,0.81,0.8,19.82,5.05
2.42,7.28,0.66,0.75,16.65,5.94
2.12,6.4,0.54,0.83,5.83,6.08
3.36,9.8,0.85,0.88,6.25,5.61
3.26,9.63,0.85,0.87,9.74,5.93
3.59,7.07,0.67,0.85,7.11,6.17
3.48,6.88,0.81,0.84,13.49,5.49
4.22,7.65,0.78,0.88,5.57,5.7
3.78,6.83,0.78,0.88,6.92,5.61
1.14,6.54,0.35,0.8,4.81,6.22
-0.46,6.76,0.35,0.82,2.46,6.22
-0.81,5.63,0.22,0.85,3.6,5.49
0.74,3.42,0.56,0.87,6.52,6.06
-2.48,4.5,0.24,0.76,3.9,6.22
-1.43,5.93,0.13,0.64,2.26,6.22
-0.07,8.05,0.79,0.81,10.68,5.35
0.01,5.68,0.59,0.91,2.05,5.19
-0.49,5.25,0.59,0.89,3.73,5.08
2.04,8.4,0.8,0.89,8.81,5.14
4.07,6.09,0.63,0.85,12.58,5.64
2.61,6.88,0.8,0.87,9.25,5.63
1.8,8.71,0.47,0.8,7.27,6.12
-1.58,6.48,0.16,0.76,3.01,6.22
-1.02,5.01,0.53,0.8,1.57,6.2
-2.42,4.94,0.31,0.82,1.83,6.22
0.86,5.58,0.44,0.79,2.0,6.22
-1.05,6.42,0.18,0.77,1.67,5.85
-3.47,8.06,0.03,0.75,1.02,5.74
0.13,6.47,0.75,0.83,5.86,6.13
2.67,9.67,0.72,0.86,10.08,5.36
1.41,6.94,0.64,0.81,8.1,6.07
2.02,8.01,0.49,0.81,3.64,6.2
2.62,7.47,0.6,0.79,8.56,6.22
1.06,7.88,0.29,0.66,3.91,6.22
-2.72,5.75,0.31,0.7,2.58,6.21
-0.53,7.66,0.29,0.67,2.23,6.22
1.62,8.5,0.71,0.84,5.86,5.86
1.07,9.24,0.34,0.79,4.38,6.2
-1.72,9.4,0.2,0.77,1.45,5.79
2.86,8.4,0.79,0.87,3.66,6.22
7.05,11.96,0.77,0.86,5.47,6.2
7.2,12.81,0.83,0.75,3.17,6.22
3.01,15.08,0.15,0.67,2.98,6.15
2.64,9.98,0.67,0.76,4.8,6.22
4.61,9.28,0.92,0.86,5.21,6.12
3.31,9.74,0.73,0.88,1.55,3.91
3.58,7.2,0.94,0.9,3.17,4.36
3.97,9.7,0.81,0.79,2.06,5.21
3.07,12.45,0.54,0.77,2.7,5.76
5.94,10.87,0.84,0.78,5.14,6.21
6.55,10.47,0.93,0.8,4.4,6.22
5.67,9.45,0.83,0.77,4.07,6.12
5.54,9.44,0.73,0.84,6.84,5.74
4.14,11.56,0.42,0.76,8.54,6.22
6.18,10.37,0.81,0.85,11.8,5.27
4.54,9.8,0.75,0.76,9.68,6.02
2.87,10.1,0.66,0.81,4.77,6.09
3.08,8.51,0.5,0.79,4.67,6.22
1.46,9.81,0.63,0.81,2.79,5.89
1.76,10.65,0.44,0.79,2.94,6.22
3.61,8.9,0.68,0.85,9.69,5.66
5.39,11.58,0.57,0.85,2.45,5.82
6.33,10.57,0.77,0.85,3.11,5.25
6.59,8.85,0.83,0.92,2.98,4.04
6.08,11.41,0.77,0.84,5.13,6.1
4.89,8.09,0.75,0.84,8.21,6.13
5.34,11.96,0.45,0.77,6.49,6.22
4.9,10.73,0.75,0.8,4.08,6.21
3.51,10.15,0.66,0.74,3.39,6.16
2.51,11.35,0.6,0.77,3.14,6.22
3.71,9.78,0.55,0.77,10.23,6.19
6.12,8.29,0.91,0.86,8.61,6.0
5.29,9.62,0.86,0.84,4.57,6.18
4.24,10.65,0.6,0.72,2.19,6.22
1.72,8.15,0.57,0.78,3.94,6.22
-0.41,9.23,0.3,0.66,3.9,6.22
-0.36,9.97,0.65,0.77,6.59,6.22
6.04,11.41,0.71,0.72,9.7,6.07
2.96,13.48,0.28,0.67,3.03,6.22
1.14,16.88,0.02,0.65,1.8,6.22
2.55,17.1,0.02,0.67,2.83,6.03
5.01,12.46,0.48,0.65,3.68,6.22
0.33,10.72,0.09,0.65,4.67,6.05
3.96,13.35,0.36,0.63,5.03,6.22
3.36,9.38,0.21,0.62,6.65,6.21
1.46,9.28,0.57,0.6,6.88,6.22
0.39,8.79,0.28,0.61,4.23,6.22
-0.19,6.87,0.58,0.82,5.68,5.74
1.36,10.24,0.47,0.69,7.24,6.21
1.84,11.22,0.34,0.69,4.78,6.22
5.79,12.95,0.75,0.83,7.28,5.96
6.3,13.05,0.63,0.76,10.87,5.98
4.99,11.12,0.57,0.76,8.5,6.14
6.79,12.98,0.72,0.76,8.07,6.2
8.41,15.12,0.55,0.74,6.69,5.76
5.42,16.52,0.17,0.71,1.94,6.22
7.7,13.68,0.31,0.77,6.98,6.21
8.28,20.9,0.5,0.77,6.21,5.27
8.51,22.21,0.02,0.71,6.96,6.03
9.07,21.84,0.05,0.69,6.79,6.17
10.11,19.97,0.03,0.66,8.09,6.22
9.32,19.53,0.24,0.6,7.58,6.22
4.98,11.17,0.59,0.69,5.02,6.22
1.65,15.39,0.31,0.61,3.09,6.22
2.95,15.71,0.22,0.63,3.87,6.21
5.36,14.67,0.73,0.68,3.48,6.22
6.0,15.18,0.79,0.8,3.38,5.78
10.55,14.83,0.8,0.89,3.58,5.66
9.35,12.37,0.84,0.88,4.77,5.54
8.83,15.55,0.77,0.79,6.74,6.18
10.59,16.02,0.7,0.83,5.58,5.62
8.21,17.02,0.45,0.73,3.91,6.22
7.2,17.64,0.19,0.69,3.63,6.22
6.45,16.99,0.22,0.71,4.02,6.12
5.36,15.21,0.64,0.66,4.75,6.22
9.25,12.68,0.59,0.82,4.1,5.99
8.9,12.86,0.93,0.88,4.46,6.03
9.59,17.79,0.74,0.76,3.03,5.87
7.92,20.74,0.48,0.73,2.63,5.73
8.31,20.02,0.55,0.77,2.62,5.25
7.9,22.77,0.25,0.69,2.91,4.53
7.38,20.95,0.07,0.69,3.39,5.84
7.4,21.3,0.25,0.65,3.29,6.22
7.05,21.48,0.2,0.68,2.79,6.22
12.18,21.16,0.63,0.74,5.02,6.0
8.98,24.37,0.22,0.69,3.56,6.12
11.02,26.03,0.06,0.67,2.27,6.22
11.25,23.09,0.07,0.75,1.82,5.75
12.61,23.03,0.29,0.74,2.92,5.34
9.72,23.6,0.43,0.73,2.98,6.21
11.65,15.36,0.84,0.82,3.74,6.11
10.7,14.72,0.94,0.89,3.8,5.35
11.34,15.64,0.92,0.91,3.99,5.37
